condition,S,P,I,frequency_S,frequency_P,frequency_I,predicted_S,absolute_error,ci95_lower,ci95_upper,predictive_low,predictive_high,H1_compatible
R0,111,89,0,0.555,0.445,0.0,0.5712750871932077,0.016275087193207693,0.48324631119257366,0.6250989052814901,97,132,True
R7,116,84,0,0.58,0.42,0.0,0.5940067620899866,0.014006762089986635,0.5083361748773803,0.6492561422089442,101,136,True
K0,174,26,0,0.87,0.13,0.0,0.8331057388062539,0.03689426119374606,0.8153476694765873,0.9132916472314248,153,179,True
K7,186,14,0,0.93,0.07,0.0,0.9001048719427329,0.02989512805726713,0.8853402664628893,0.9612044295704372,169,190,True
