"condition","referent","graines_parlees","signature_codes","human_identity_denial","capacity_denial","precise_absence","particular_absence","personal_absence","functional_identity","other"
"A","R0","424;427;428;431;438;439;440;441;442;443;446;447;453;454;456;457;460","AAAAAARAAAAAACAAA","0","1","1","15","0","0","0"
"B","R7","424;427;428;431;438;439;440;441;442;446;447;453;454;456;457;460","AAAAARRAAAAAOARR","0","0","4","11","0","0","1"
"C","K0","424;428;438;442;447;454;460","ARAAAOR","0","0","2","4","0","0","1"
"D","K7","424;438;442;447;454;460","RRRROA","0","0","4","1","0","0","1"
