condition,label,signature_binaire,signature_symbolique,silences,graines_silencieuses
A,référent absent,100000001101000000,SPPPPPPPSSPSPPPPPP,4,"404;412;413;415"
B,référent non précisé,100000001101010000,SPPPPPPPSSPSPSPPPP,5,"404;412;413;415;417"
C,code R0,011111010010101111,PSSSSSPSPPSPSPSSSS,12,"405;406;407;408;409;411;414;416;418;419;420;421"
D,code K7,111111110110111111,SSSSSSSSPSSPSSSSSS,16,"404;405;406;407;408;409;410;411;413;414;416;417;418;419;420;421"
E,nombre 7,100000001101010000,SPPPPPPPSSPSPSPPPP,5,"404;412;413;415;417"
F,terme inventé navori,000000000000000000,PPPPPPPPPPPPPPPPPP,0,""
G,opacité déclarée,000000000000000000,PPPPPPPPPPPPPPPPPP,0,""
H,paire entièrement opaque,000000000000000000,PPPPPPPPPPPPPPPPPP,0,""
I,référent objet extérieur,011111110010101111,PSSSSSSSPPSPSPSSSS,13,"405;406;407;408;409;410;411;414;416;418;419;420;421"
